payment_information_id,type,payment_details,hosts_host_id,guests_guest_id
1,"credit card",4700676839101872,NULL,1
2,"credit card",5540137240169256,NULL,2
3,"credit card",378552119460677,NULL,3
4,"credit card",349254455069412,NULL,4
5,"credit card",6011364994834517,NULL,5
6,"credit card",4539366047546590,NULL,6
7,"credit card",5271691481333117,NULL,7
8,"credit card",6011661208654221,NULL,8
9,"debit card",372667485491100,NULL,9
10,"credit card",377614491457993,NULL,10
11,"debit card",5311726238819851,NULL,11
12,"credit card",4539579116538187,NULL,12
13,"credit card",4539360993673573,NULL,13
14,"credit card",4716433766693998,NULL,14
15,"debit card",6011364994834517,NULL,15
16,"bank transfer","AT16 4879 4512 6655",NULL,16
17,"credit card",4532491010193126,NULL,17
18,"credit card",6011242029128768,NULL,18
19,"credit card",6011821278718492,NULL,19
20,"bank transfer","GB89 7844 4566 0000",NULL,20
21,"credit card",341685837175864,NULL,21
22,"credit card",346368842479614,NULL,22
23,"credit card",370862345192087,NULL,23
24,"credit card",4716567305357910,1,NULL
25,"credit card",5140476134232398,2,NULL
26,"debit card",4467002169977950,2,NULL
27,"credit card",6011532843592581,3,NULL
28,"debit card",378817005412383,4,NULL
29,"credit card",374281095320416,5,NULL
30,"debit card",6011210039055925,5,NULL
31,"debit card",371793606889815,6,NULL
32,"credit card",374913846073379,7,NULL
33,"credit card",6011350023326294,8,NULL
34,"credit card",5207851121853812,9,NULL
35,"debit card",4024007199373456,10,NULL
36,"bank transfer","DE16 7888 8789 9879",11,NULL
37,"credit card",4929815237926507,12,NULL
38,"debit card",343434009848794,12,NULL
39,"credit card",4647211928093248,13,NULL
40,"credit card",4556438172118046,14,NULL
41,"bank transfer","AT 5558 4551 1664",15,NULL
42,"credit card",4556818690922237,16,NULL
43,"credit card",5474389292668517,17,NULL
44,"credit card",6011915121384963,18,NULL
45,"credit card",377459757085694,19,NULL
46,"credit card",343349348056331,20,NULL
