host_id,first_name,last_name,profile_picture,birthdate,description
1,Mirko,Witter,https://drive.google.com/file/d/1Q7xbCvyGfGPXzU30B0M_x5jhpQWPFWM1/view?usp=share_link,1998-12-24,"Hello my name is Mirko! Feel free to contact me with any qeustions regarding your stay."
2,Anna,Cramling,https://drive.google.com/file/d/1Ex8Gm3L6cbR7VvzkRftZmihyTkqX-Mi3/view?usp=share_link,1997-11-04,"Hope you enjoy your stay in my humble home!"
3,Eric,Rosen,https://drive.google.com/file/d/1y5XgDGeajJtnW3ptZMvRwUDXPpTMSsRA/view?usp=share_link,1992-04-09,NULL
4,Hikaru,Nakamura,https://drive.google.com/file/d/1llqVGBSqVvMBQIToZQTscNa8OUiOL37J/view?usp=share_link,1984-05-08,"I am Chess Grandmaster Hikaru Nakamura offering you an exceptional experience staying in this apartment!"
5,Claudia,Socke,https://drive.google.com/file/d/1a6TcoF9qki9aXA05mS1NDjIf2l7LvLAh/view?usp=share_link,1997-11-04,"Thank you for the interest in this house. Feel free to contact me via e-mail if you have any questions!"
6,Abdula,Yusuf,https://drive.google.com/file/d/1llqVGBSqVvMBQIToZQTscNa8OUiOL37J/view?usp=share_link,1974-07-24,Greetings!
7,Ahmed,Aman,https://drive.google.com/file/d/11YB57byiKhsr9qWSQW3Lq55ZhTmYxnOC/view?usp=share_link,1967-08-30,"I will be happy to assist you during your stay"
8,Jürgen,Becker,https://drive.google.com/file/d/1fyX5A3UDYdj1-k_QGKeTVkLXBxOPESQR/view?usp=share_link,1974-03-18,"Thank you for your interest in this apartment"
9,Bettina,Deustch,https://drive.google.com/file/d/1m3E7gTr4HUB4IzqGbM8sofJDzjaKjS9v/view?usp=share_link,1966-12-14,"Hello :)"
10,Clarice,Singer,https://drive.google.com/file/d/1h4bBNmCY1zzXechlv4h9cvGrz0DdJRWZ/view?usp=share_link,1988-07-04,"Welcome to my lovely home"
11,Dieter,Schwarz,https://drive.google.com/file/d/1llocqRAcXIjQcxCWsrz0-oY80oOct_FB/view?usp=share_link,1985-02-02,"Only available via e-mail"
12,Anna,Kaplan,https://drive.google.com/file/d/1pKgCDU6EAp1CROfhfOOlorepw64XoCug/view?usp=share_link,1968-07-30,"I will be happy to assist you during your stay"
13,Heino,Gutmann,https://drive.google.com/file/d/1KJ0qjq4wzCK9-nQ5qpnUn_b9Kj58_4ZG/view?usp=share_link,1987-07-07,"Good day! Guten Tag!"
14,Albert,Schweiz,https://drive.google.com/file/d/1Oxwt7BSa_FDVhl3cIDei2pD9lZiWX5X4/view?usp=share_link,1958-12-29,NULL
15,Maurice,Clarice,https://drive.google.com/file/d/1Kb3F7cWy1C9T3vfrJ1OByWtBF5dhmSZ0/view?usp=share_link,1977-04-01,NULL
16,Herman,Keller,https://drive.google.com/file/d/1ObPmh21uoy_3rp4JUuJxNWWqltp_wAV0/view?usp=share_link,1974-01-01,"A warm welcome!"
17,Beatrice,Copper,https://drive.google.com/file/d/1cHNTgIf6OC3PdfILlY3J5CsW93ppnR5q/view?usp=share_link,1965-06-09,"Thank you for your interest in this apartment!, during your stay i will gladly provide any assistance you need!"
18,Clarice,Waterfall,https://drive.google.com/file/d/1-nCiUlMidshDkzy8i7UFEPtxf_w-0uWW/view?usp=share_link,1987-07-26,"The apartment speeks for itself"
19,Maurice,Jupiter,https://drive.google.com/file/d/1hETESP4IiPCFeG96NEPat3vyUmK6DJfH/view?usp=share_link,1994-07-05,"Please leave a recommendation!"
20,Hercules,Strongman,https://drive.google.com/file/d/16ailt46sMoWuyXFT7hj0hNYolHzNrCkA/view?usp=share_link,1988-12-01,Hello!
