telephone_numbers_id,telephone_number,administrators_administrator_id,guests_guest_id,hosts_host_id
1,"+43 650 421707927",NULL,1,NULL
2,"+43 650 421707927",NULL,2,NULL
3,"+43 672 041572",NULL,3,NULL
4,"+43 651 54923",NULL,4,NULL
5,"+43 687 388521",NULL,5,NULL
6,"+49 15054 852214",NULL,6,NULL
7,"+49 15006 140423",NULL,7,NULL
8,"+36 162 42224207",NULL,8,NULL
9,"+36 160 5436329",NULL,9,NULL
10,"+55 1598 8031322",NULL,10,NULL
11,"+55 1598 8031322",NULL,10,NULL
12,"+76 170 33575835",NULL,11,NULL
13,"+87 1519 4214800",NULL,12,NULL
14,"+565 163 3274296",NULL,13,NULL
15,"+420 1524 0765387",NULL,14,NULL
16,"+420 170 64925737",NULL,15,NULL
17,"+386 15505 366496",NULL,16,NULL
18,"+386 176 43104692",NULL,16,NULL
19,"+387 160 5195096",NULL,17,NULL
20,"+66 1595 0895909",NULL,18,NULL
21,"+77 178 82173030",NULL,19,NULL
22,"+22 179 6869630",NULL,19,NULL
23,"+01 15847 753801",NULL,20,NULL
24,"+01 177 81800498",NULL,20,NULL
25,"+43 650 434507927",NULL,NULL,1
26,"+43 650 434407927",NULL,NULL,2
27,"+43 672 041456572",NULL,NULL,3
28,"+43 651 57653",NULL,NULL,4
29,"+43 687 385671",NULL,NULL,5
30,"+49 15054 856756714",NULL,NULL,6
31,"+49 15006 1567553",NULL,NULL,7
32,"+36 162 44246207",NULL,NULL,8
33,"+36 160 3463429",NULL,NULL,9
34,"+55 1598 83464322",NULL,NULL,10
35,"+55 1598 346622",NULL,NULL,10
36,"+76 170 3345635",NULL,NULL,11
37,"+87 1519 43465300",NULL,NULL,12
38,"+565 16363396",NULL,NULL,13
39,"+420 1524 07345687",NULL,NULL,14
40,"+420 170 64347537",NULL,NULL,15
41,"+386 15505 385676",NULL,NULL,16
42,"+386 176 856792",NULL,NULL,16
43,"+387 160 5856796",NULL,NULL,17
44,"+66 1595 0654909",NULL,NULL,18
45,"+77 178 8246530",NULL,NULL,19
46,"+22 179 687892",NULL,NULL,19
47,"+01 15847 753454",NULL,NULL,20
48,"+01 177 4564598",NULL,NULL,20
49,"+43 650 456456",1,NULL,NULL
50,"+43 650 5234254",2,NULL,NULL
51,"+43 672 2453555",3,NULL,NULL
52,"+43 651 253453",4,NULL,NULL
53,"+43 687 6463456",5,NULL,NULL
54,"+49 15054 4564356",6,NULL,NULL
55,"+49 15006 45677456",7,NULL,NULL
56,"+36 162 7456756",8,NULL,NULL
57,"+36 160 14232314",9,NULL,NULL
58,"+55 1598 75475676",10,NULL,NULL
59,"+55 1598 744567",10,NULL,NULL
60,"+76 170 25342354",11,NULL,NULL
61,"+87 1519 75674576",12,NULL,NULL
62,"+565 3452253",13,NULL,NULL
63,"+420 1524 5234545",14,NULL,NULL
64,"+420 170 23454523",15,NULL,NULL
65,"+386 15505 646656",16,NULL,NULL
66,"+386 176 745676",16,NULL,NULL
67,"+387 160 433412",17,NULL,NULL
68,"+66 1595 3456456",18,NULL,NULL
69,"+77 178 43564536",19,NULL,NULL
70,"+22 179 544567892",19,NULL,NULL
71,"+01 15847 4535454",20,NULL,NULL
72,"+01 177 45232435",20,NULL,NULL
